-0.111625	0.028991	-0.5142182785
-0.295979	-0.217765	-0.4478724191
-0.164334	-0.125058	-0.2701851997
-0.083569	0.023144	-0.4771970231
-0.156569	-0.103556	-0.3394109677
-0.336838	-0.245791	-0.4178541099
-0.354776	-0.239377	-0.5121852865
-0.054259	0.074773	-0.5632978516
-0.254745	-0.214906	-0.2947557524
-0.418062	-0.351073	-0.4082796034
-0.150540	-0.059588	-0.4265302474
-0.259108	-0.115485	-0.6217322368
-0.333596	-0.290388	-0.320726718
-0.289788	-0.253819	-0.3055056601
-0.397202	-0.343735	-0.3500112936
-0.272870	-0.171044	-0.4927418957
-0.124402	-0.052170	-0.4360220084
-0.172285	-0.020580	-0.6748376696
-0.218219	-0.181004	-0.291382681
-0.021570	0.092414	-0.4859392868
