-0.237250	-0.072180	-0.669099
-0.331037	-0.237931	-0.497642
-0.238559	-0.186325	-0.353891
-0.238397	-0.072297	-0.666169
-0.193758	-0.136457	-0.383458
-0.464763	-0.322074	-0.576949
-0.493881	-0.321114	-0.688798
-0.213772	-0.011136	-0.766374
-0.319653	-0.268036	-0.369630
-0.459298	-0.379233	-0.463555
-0.293705	-0.144120	-0.601580
-0.422594	-0.192746	-0.834770
-0.374939	-0.323589	-0.371293
-0.334203	-0.285170	-0.359110
-0.424419	-0.369514	-0.386278
-0.387499	-0.233192	-0.640792
-0.170901	-0.076218	-0.497326
-0.308628	-0.072163	-0.861333
-0.263063	-0.214665	-0.345284
-0.201782	-0.021829	-0.703365
