-0.018869	-0.018869	-0.395444
-0.191055	-0.191055	-0.327079
-0.119153	-0.119153	-0.217661
-0.010316	-0.010316	-0.382802
-0.068445	-0.068445	-0.240956
-0.287027	-0.287027	-0.350110
-0.285743	-0.285743	-0.420385
0.038898	0.038898	-0.444108
-0.202628	-0.202628	-0.235133
-0.333867	-0.333867	-0.310393
-0.086394	-0.086394	-0.344753
-0.169915	-0.169915	-0.503153
-0.264546	-0.264546	-0.243227
-0.224391	-0.224391	-0.233504
-0.320226	-0.320226	-0.262288
-0.186432	-0.186432	-0.386596
-0.014566	-0.014566	-0.311807
-0.042478	-0.042478	-0.514279
-0.151200	-0.151200	-0.217432
0.042380	0.042380	-0.399233
