00_01_02_03 00_01_02_03 True -268.412665468769 -76.064008187204 -76.062240138620 -76.062896834952 -40.215956425700 -152.131995784785 -152.132303824651 -116.279366482496 -152.123667219383 -116.277979540262 -116.278696615245 -228.197708502528 -192.347070262114 -192.347481173958 -192.339328682236
00_01_02_04 00_01_02_04 True -268.415629208134 -76.064026591121 -76.062241144143 -76.062977327674 -40.215956696986 -152.132014269461 -152.129705699922 -116.279385068410 -152.126817174325 -116.277980869858 -116.278342522705 -228.201159690597 -192.347088960984 -192.344571995416 -192.341896592605
00_01_02_05 00_01_02_05 True -268.411757567147 -76.064000898622 -76.062264740077 -76.063787503728 -40.215955427894 -152.132014258074 -152.126860547348 -116.279358321009 -152.129166842410 -116.278003337228 -116.279468661991 -228.196988013896 -192.347088054725 -192.341893408407 -192.344654214405
00_01_02_06 00_01_02_06 True -268.410599182915 -76.063999577581 -76.062240944001 -76.064025123251 -40.215957471474 -152.131988187437 -152.125844201179 -116.279358960171 -152.128096299255 -116.277981352045 -116.279883274639 -228.195670643647 -192.347063710520 -192.341092939633 -192.343692179360
00_01_02_07 00_01_02_07 True -268.416458207044 -76.063998610706 -76.062255536942 -76.063570630711 -40.215957132796 -152.132002583798 -152.129044720484 -116.279357626684 -152.127941491616 -116.277995776680 -116.279314227042 -228.201412006110 -192.347077917071 -192.344117852023 -192.343742367636
00_01_02_08 00_01_02_08 True -268.411080593448 -76.063998192708 -76.062239379294 -76.063798819057 -40.215956249788 -152.131985469054 -152.129314228026 -116.279356467951 -152.125670722371 -116.277978631840 -116.278986703260 -228.196762341313 -192.347059954658 -192.343850486126 -192.340707475853
00_01_02_09 00_01_02_09 True -268.411611950626 -76.064000009129 -76.062241239609 -76.061051410661 -40.215957644197 -152.131988998680 -152.126921301186 -116.279359479057 -152.124665608487 -116.277981933750 -116.276958339945 -228.196695321213 -192.347064711742 -192.342225009732 -192.340273926703
00_01_02_10 00_01_02_10 True -268.408676347680 -76.063996828390 -76.062239255099 -76.062781365413 -40.215955834686 -152.131984045500 -152.126108313461 -116.279354647049 -152.124664146970 -116.277978122683 -116.278774084001 -228.193470302136 -192.347058106870 -192.341538281996 -192.340484178880
00_01_02_11 00_01_02_11 True -268.411512732931 -76.063996014847 -76.062241072454 -76.063657553660 -40.215957236967 -152.131985060826 -152.127184322757 -116.279355265014 -152.127594701618 -116.277981346542 -116.279204232771 -228.196884454990 -192.347060569608 -192.342173409182 -192.342851687780
00_01_02_12 00_01_02_12 True -268.409717033747 -76.063995960316 -76.062239326815 -76.063216012244 -40.215957143629 -152.131983229921 -152.126734282930 -116.279355146415 -152.125884393751 -116.277979459094 -116.278643255642 -228.195225808198 -192.347058608653 -192.341559374259 -192.341053765758
00_01_02_13 00_01_02_13 True -268.411092516201 -76.063995845580 -76.062241650971 -76.062523931395 -40.215957356345 -152.131985538713 -152.126381559411 -116.279355189972 -152.126331337931 -116.277981988032 -116.278516713454 -228.196030995008 -192.347061082876 -192.341820831317 -192.342020428075
00_01_02_14 00_01_02_14 True -268.410782332331 -76.063995816630 -76.062239132756 -76.063709549930 -40.215956007532 -152.131982924165 -152.128114552600 -116.279353791536 -152.125614628908 -116.277978199229 -116.279652388587 -228.195695176027 -192.347057167458 -192.343427117301 -192.341387950396
00_01_02_15 00_01_02_15 True -268.410747613897 -76.063996066472 -76.062239337215 -76.063654437118 -40.215956009981 -152.131983359877 -152.127951726131 -116.279353935676 -152.125587987552 -116.277978412433 -116.279703486214 -228.195616378787 -192.347057499415 -192.343441305178 -192.341345080060
00_01_02_16 00_01_02_16 True -268.410053894065 -76.063995777617 -76.062239362027 -76.063745356487 -40.215956840758 -152.131983116519 -152.127479839053 -116.279354439719 -152.125833327454 -116.277979256725 -116.279385131552 -228.195218637581 -192.347058041044 -192.342537789514 -192.341304510633
00_01_02_17 00_01_02_17 True -268.408770310087 -76.063995697781 -76.062239271409 -76.062100969127 -40.215956186767 -152.131982931004 -152.126058645107 -116.279353882456 -152.124455176448 -116.277978490257 -116.277583786568 -228.194225816410 -192.347057373049 -192.340950116543 -192.339669311720
00_01_02_18 00_01_02_18 True -268.409868480694 -76.063995660614 -76.062239409106 -76.064030978353 -40.215957187869 -152.131983016585 -152.128072195266 -116.279354751733 -152.125829094338 -116.277979641538 -116.279237465628 -228.195548410620 -192.347058369819 -192.342669173786 -192.340821979674
00_01_02_19 00_01_02_19 True -268.407805843044 -76.063995732257 -76.062239154973 -76.061033185085 -40.215956967908 -152.131982855392 -152.124993973645 -116.279354660691 -152.123147713554 -116.277979156562 -116.276885198000 -228.192787197549 -192.347058029589 -192.340279260689 -192.338786111780
00_01_02_20 00_01_02_20 True -268.409149122506 -76.063995924924 -76.062239302134 -76.062975572276 -40.215956318208 -152.131983210878 -152.126833027619 -116.279354132336 -152.125181637285 -116.277978690105 -116.278229875388 -228.194724134312 -192.347057712151 -192.341509791652 -192.340237873230
00_01_03_04 00_01_03_04 True -268.414984165043 -76.064026947982 -76.062898400110 -76.062976718311 -40.215957769057 -152.132323055234 -152.129705488251 -116.279386412716 -152.126552954668 -116.278699580485 -116.278343078965 -228.200310403236 -192.347501588104 -192.344572852220 -192.341764656229
00_01_03_05 00_01_03_05 True -268.409680871509 -76.064001288188 -76.062897013933 -76.063772741117 -40.215955972423 -152.132297200255 -152.126846745923 -116.279359098376 -152.126075599981 -116.278696398773 -116.279454442506 -228.194807351222 -192.347474105102 -192.341879998747 -192.341630781119
00_01_03_06 00_01_03_06 True -268.413783392670 -76.064003447174 -76.062917200803 -76.064040269265 -40.215956953976 -152.132320573307 -152.125862903277 -116.279362165249 -152.132302455138 -116.278717713298 -116.279897778748 -228.198747817676 -192.347498544887 -192.341110842192 -192.347997933330
00_01_03_07 00_01_03_07 True -268.411732895992 -76.063999958693 -76.062895858433 -76.063537041587 -40.215957320097 -152.132294855853 -152.129012663293 -116.279359092565 -152.126073537212 -116.278696637593 -116.279280859750 -228.196763872784 -192.347473137851 -192.344085932342 -192.341728870118
00_01_03_08 00_01_03_08 True -268.417265626209 -76.064000370949 -76.062912694866 -76.063831392272 -40.215956785348 -152.132312853131 -152.129348789008 -116.279358988204 -152.129541573993 -116.278712948636 -116.279019920940 -228.202776132492 -192.347490629168 -192.343885519206 -192.344719018722
00_01_03_09 00_01_03_09 True -268.410526580363 -76.064000960652 -76.062895938555 -76.061048351227 -40.215958221775 -152.132295732860 -152.126918988479 -116.279360949023 -152.123946308060 -116.278697604859 -116.276955932188 -228.195400990038 -192.347474843000 -192.342223302043 -192.339691104736
00_01_03_10 00_01_03_10 True -268.410546315910 -76.063999876662 -76.062897392882 -76.062783479084 -40.215956890054 -152.132296355880 -152.126113856850 -116.279358633888 -152.126498544305 -116.278697766452 -116.278777188055 -228.195306763256 -192.347474282351 -192.341544690588 -192.342329951549
00_01_03_11 00_01_03_11 True -268.410634876522 -76.063998170469 -76.062896028332 -76.063654704385 -40.215957604693 -152.132293231994 -152.127183567086 -116.279357652766 -152.126984074444 -116.278697042609 -116.279201810087 -228.195840169716 -192.347471812029 -192.342172946304 -192.342345901244
00_01_03_12 00_01_03_12 True -268.410148675492 -76.063998186965 -76.062898665964 -76.063218910981 -40.215957441872 -152.132296036023 -152.126739400141 -116.279357474772 -152.126822967240 -116.278699518925 -116.278646471353 -228.195508472545 -192.347474441967 -192.341564625485 -192.342084492588
00_01_03_13 00_01_03_13 True -268.409875229410 -76.063998225412 -76.062895832746 -76.062520851975 -40.215957505952 -152.132293065603 -152.126380765601 -116.279357589374 -152.125452652895 -116.278696716801 -116.278513765303 -228.194624996743 -192.347471503270 -192.341820047501 -192.341266573225
00_01_03_14 00_01_03_14 True -268.412578767891 -76.063997802142 -76.062897815351 -76.063711216490 -40.215956809821 -152.132294794041 -152.128118364500 -116.279356441738 -152.127414869841 -116.278698083398 -116.279654769724 -228.197470894726 -192.347472602370 -192.343431506907 -192.343196308357
00_01_03_15 00_01_03_15 True -268.411708274084 -76.063998066692 -76.062895814744 -76.063654079481 -40.215957029435 -152.132292909645 -152.127953447909 -116.279356808827 -152.126669265828 -116.278696297859 -116.279704165292 -228.196472504930 -192.347470784359 -192.343443923243 -192.342495828956
00_01_03_16 00_01_03_16 True -268.411002099723 -76.063998245339 -76.062895952233 -76.063746255219 -40.215957812828 -152.132293256500 -152.127483272427 -116.279357727916 -152.126967513206 -116.278697374620 -116.279386972976 -228.196132679626 -192.347472029304 -192.342542009308 -192.342445971802
00_01_03_17 00_01_03_17 True -268.408953240804 -76.063997896829 -76.062896087553 -76.062100969819 -40.215956641537 -152.132293036579 -152.126060817127 -116.279356400673 -152.124981899145 -116.278696134530 -116.277584326243 -228.194243079560 -192.347470634300 -192.340952701418 -192.340299105063
00_01_03_18 00_01_03_18 True -268.410965119370 -76.063998049671 -76.062896153694 -76.064030770835 -40.215957765218 -152.132293253227 -152.128074428936 -116.279357557394 -152.127067567685 -116.278697388312 -116.279237811182 -228.196591619257 -192.347471899644 -192.342671794804 -192.342088890062
