00_01_02_03 00_01_02_03 True -1.08162665 -0.28757656 -0.28824248 -0.28798902 -0.21092755 -0.57804589 -0.57800225 -0.49929065 -0.57648617 -0.49987859 -0.49940950 -0.86876976 -0.79044522 -0.79019717 -0.78859486
00_01_02_04 00_01_02_04 True -1.08262037 -0.28773624 -0.28825030 -0.28799265 -0.21093696 -0.57821822 -0.57894278 -0.49946189 -0.57628878 -0.49989593 -0.49969191 -0.86947264 -0.79062924 -0.79140493 -0.78869395
00_01_02_05 00_01_02_05 True -1.08199341 -0.28750977 -0.28849022 -0.28753828 -0.21092992 -0.57822771 -0.57531152 -0.49922572 -0.57918023 -0.50012963 -0.49899741 -0.86908068 -0.79062986 -0.78757354 -0.79131629
00_01_02_06 00_01_02_06 True -1.07896030 -0.28749873 -0.28824416 -0.28742741 -0.21093402 -0.57796891 -0.57542451 -0.49921879 -0.57559994 -0.49988678 -0.49908355 -0.86582090 -0.79037427 -0.78786926 -0.78797621
00_01_02_07 00_01_02_07 True -1.08309798 -0.28749418 -0.28836863 -0.28791348 -0.21093883 -0.57808949 -0.57553148 -0.49921915 -0.58004394 -0.50001660 -0.49970382 -0.86989210 -0.79050028 -0.78810501 -0.79248880
00_01_02_08 00_01_02_08 True -1.07892673 -0.28748674 -0.28823688 -0.28754552 -0.21093955 -0.57794935 -0.57513846 -0.49921217 -0.57582758 -0.49988499 -0.49935673 -0.86565524 -0.79036005 -0.78773253 -0.78833930
00_01_02_09 00_01_02_09 True -1.07949222 -0.28749052 -0.28824383 -0.28841591 -0.21093003 -0.57796044 -0.57596085 -0.49920674 -0.57677804 -0.49988249 -0.49988316 -0.86656088 -0.79036199 -0.78820531 -0.78895643
00_01_02_10 00_01_02_10 True -1.07903352 -0.28748251 -0.28823624 -0.28777964 -0.21093520 -0.57794436 -0.57543626 -0.49920359 -0.57606704 -0.49987998 -0.49940160 -0.86595560 -0.79035068 -0.78783172 -0.78839612
00_01_02_11 00_01_02_11 True -1.07871214 -0.28748110 -0.28824438 -0.28754844 -0.21093283 -0.57795114 -0.57510735 -0.49919960 -0.57583556 -0.49988582 -0.49918229 -0.86561268 -0.79035495 -0.78752439 -0.78817584
00_01_02_12 00_01_02_12 True -1.07915195 -0.28748033 -0.28823630 -0.28774655 -0.21094112 -0.57794218 -0.57530663 -0.49920718 -0.57595145 -0.49988599 -0.49968857 -0.86573774 -0.79035430 -0.78803507 -0.78860377
00_01_02_13 00_01_02_13 True -1.07890101 -0.28747941 -0.28824394 -0.28787356 -0.21092851 -0.57794892 -0.57538625 -0.49919357 -0.57620327 -0.49988105 -0.49935820 -0.86594190 -0.79034837 -0.78765507 -0.78840023
00_01_02_14 00_01_02_14 True -1.07827626 -0.28747865 -0.28823513 -0.28739378 -0.21092748 -0.57793930 -0.57483926 -0.49919172 -0.57567479 -0.49987112 -0.49885068 -0.86534574 -0.79033756 -0.78708399 -0.78784138
00_01_02_15 00_01_02_15 True -1.07840984 -0.28748007 -0.28823613 -0.28742016 -0.21092895 -0.57794177 -0.57488532 -0.49919475 -0.57571308 -0.49987362 -0.49893982 -0.86540573 -0.79034169 -0.78718474 -0.78796268
00_01_02_16 00_01_02_16 True -1.07867216 -0.28747936 -0.28823649 -0.28749198 -0.21093580 -0.57794139 -0.57501832 -0.49920091 -0.57574111 -0.49988085 -0.49920469 -0.86549338 -0.79034819 -0.78751512 -0.78815842
00_01_02_17 00_01_02_17 True -1.07905119 -0.28747918 -0.28823620 -0.28802136 -0.21093541 -0.57794089 -0.57550750 -0.49920030 -0.57626269 -0.49988017 -0.49962264 -0.86597519 -0.79034726 -0.78789693 -0.78857443
00_01_02_18 00_01_02_18 True -1.07886163 -0.28747925 -0.28823624 -0.28742125 -0.21094105 -0.57794100 -0.57490770 -0.49920610 -0.57571605 -0.49988583 -0.49937676 -0.86542873 -0.79035309 -0.78764784 -0.78838914
00_01_02_19 00_01_02_19 True -1.07925975 -0.28747866 -0.28823508 -0.28839680 -0.21092860 -0.57793924 -0.57587991 -0.49919288 -0.57665275 -0.49987217 -0.49982122 -0.86636077 -0.79033865 -0.78808746 -0.78879206
00_01_02_20 00_01_02_20 True -1.07900821 -0.28747978 -0.28823586 -0.28784595 -0.21093624 -0.57794114 -0.57535115 -0.49920186 -0.57608399 -0.49988064 -0.49956810 -0.86581474 -0.79034847 -0.78785653 -0.78851705
