00_01_02_03 00_01_02_03 True -268.323486424898 -76.039911867686 -76.038453154217 -76.039009604433 -40.198692414125 -152.084078249180 -152.084225423517 -116.237999155275 -152.075992298637 -116.236920875610 -116.237543468611 -228.125809985012 -192.281874331004 -192.282128956292 -192.274380927878
00_01_02_04 00_01_02_04 True -268.326459285676 -76.040218114449 -76.038457310828 -76.038944526090 -40.198700332543 -152.084377153149 -152.081650224712 -116.238317317653 -152.079010983098 -116.236933174984 -116.237037089699 -228.129273330860 -192.282185597079 -192.279240729804 -192.276808546440
00_01_02_05 00_01_02_05 True -268.322693869568 -76.039898955269 -76.038855466887 -76.039704043598 -40.198667732729 -152.084486705536 -152.078676810811 -116.237964926785 -152.081501479363 -116.237299672630 -116.238093015843 -228.125227972415 -192.282262807730 -192.276411604630 -192.279690999283
00_01_02_06 00_01_02_06 True -268.321173617062 -76.039870380865 -76.038459783476 -76.039828745833 -40.198701784197 -152.084043085084 -152.077476529548 -116.237968919637 -152.080136841986 -116.236936839276 -116.238434766443 -228.123511388581 -192.281850387452 -192.275467233715 -192.278472107001
00_01_02_07 00_01_02_07 True -268.327160310576 -76.039870730710 -76.038532396228 -76.039801607438 -40.198679916322 -152.084120298886 -152.081153817269 -116.237947786993 -152.080102242319 -116.236989000982 -116.238271577568 -228.129400086459 -192.281907261077 -192.278947236569 -192.278623336827
00_01_02_08 00_01_02_08 True -268.321701327286 -76.039854361286 -76.038446323099 -76.039647547341 -40.198719549984 -152.084014950789 -152.081030877284 -116.237972180303 -152.077723016972 -116.236941507655 -116.237577049153 -228.124649346833 -192.281841719909 -192.278306291891 -192.275495681852
00_01_02_09 00_01_02_09 True -268.322352779029 -76.039862590526 -76.038457405790 -76.036977492911 -40.198707561505 -152.084034389899 -152.078728954765 -116.237967555936 -152.076820247504 -116.236940670547 -116.235635373078 -228.124693796894 -192.281848478087 -192.276782467018 -192.275171425983
00_01_02_10 00_01_02_10 True -268.319356607725 -76.039850525653 -76.038445230554 -76.038711414507 -40.198704799205 -152.084011585368 -152.077883043522 -116.237953911794 -152.076797661134 -116.236924995405 -116.237450924778 -228.121415258122 -192.281823227777 -192.276055949980 -192.275356889344
00_01_02_11 00_01_02_11 True -268.322105649084 -76.039848521599 -76.038468483701 -76.039465408835 -40.198709030320 -152.084031450293 -152.078836974039 -116.237956172074 -152.079642220952 -116.236953261871 -116.237753484611 -228.124746214466 -192.281848052074 -192.276565286518 -192.277632724458
00_01_02_12 00_01_02_12 True -268.320388465285 -76.039846582433 -76.038446500391 -76.039106818938 -40.198727557564 -152.084007353158 -152.078468726648 -116.237973187011 -152.077984334997 -116.236948970559 -116.237305181193 -228.123137498306 -192.281842378321 -192.276062050704 -192.275916207596
00_01_02_13 00_01_02_13 True -268.321738945158 -76.039848090309 -76.038457476279 -76.038384666153 -40.198698556574 -152.084019936626 -152.078091315767 -116.237945086121 -152.078425389988 -116.236931660780 -116.237123505885 -228.123940083417 -192.281825787679 -192.276275630510 -192.276852844886
00_01_02_14 00_01_02_14 True -268.321316358548 -76.039844438362 -76.038445162034 -76.039492996472 -40.198691095293 -152.084004297765 -152.079751668651 -116.237933320586 -152.077601032556 -116.236911824303 -116.238175962794 -228.123501219536 -192.281802130930 -192.277798703002 -192.276107703689
00_01_02_15 00_01_02_15 True -268.321318042547 -76.039844867808 -76.038446497744 -76.039474024608 -40.198689838218 -152.084005908228 -152.079623141854 -116.237932443871 -152.077611533570 -116.236912710264 -116.238262438540 -228.123458175024 -192.281803355788 -192.277848143510 -192.276101000281
00_01_02_16 00_01_02_16 True -268.320607013199 -76.039846282882 -76.038446217839 -76.039549539842 -40.198690245050 -152.084007234444 -152.079131138221 -116.237934280176 -152.077843341118 -116.236911847916 -116.237928620487 -228.123042000455 -192.281803961758 -192.276925449176 -192.276046996072
00_01_02_17 00_01_02_17 True -268.319470695004 -76.039845611522 -76.038447835267 -76.038044006326 -40.198710405872 -152.084008170290 -152.077850710151 -116.237954787415 -152.076607646922 -116.236933108110 -116.236269868093 -228.122194851183 -192.281825631043 -192.275481985081 -192.274556286512
00_01_02_18 00_01_02_18 True -268.320508352703 -76.039844861831 -76.038445336613 -76.039872362764 -40.198755704007 -152.084004786813 -152.079764223017 -116.237997776145 -152.077870521416 -116.236978000512 -116.237872104195 -228.123406331629 -192.281868174790 -192.277149185211 -192.275650422153
00_01_02_19 00_01_02_19 True -268.318467931093 -76.039845243629 -76.038447475653 -76.036943346916 -40.198701951568 -152.084007207491 -152.076752834144 -116.237944896647 -152.075265054136 -116.236925070544 -116.235537232364 -228.120719249906 -192.281815892043 -192.274775547287 -192.273637789699
00_01_02_20 00_01_02_20 True -268.319751175871 -76.039845854779 -76.038445209282 -76.038840060831 -40.198698159897 -152.084005946892 -152.078545304143 -116.237940977728 -152.077252068282 -116.236919478835 -116.236823187853 -228.122608740037 -192.281810615160 -192.275946498467 -192.275029850419
