00_01_02_03 00_01_02_03 True -268.399460254307 -76.060207041978 -76.058433957471 -76.059088236596 -40.214190244332 -152.124377640158 -152.124682635434 -116.273797732754 -152.116053143292 -116.272407246725 -116.273122201116 -228.186270454140 -192.337684644190 -192.338092729959 -192.329948834657
00_01_02_04 00_01_02_04 True -268.402424586658 -76.060216924687 -76.058434541840 -76.059177816542 -40.214190428461 -152.124387552654 -152.122085202357 -116.273807947290 -152.119211064511 -116.272408026033 -116.272776408706 -228.189722545040 -192.337694890074 -192.335183963217 -192.332523872975
00_01_02_05 00_01_02_05 True -268.398551346039 -76.060195822499 -76.058456285116 -76.059986743438 -40.214189493119 -152.124389815870 -152.119254554743 -116.273785835030 -152.121545234386 -116.272428855898 -116.273901498012 -228.185549713233 -192.337696184940 -192.332519494787 -192.335266158564
00_01_02_06 00_01_02_06 True -268.397403636697 -76.060195230128 -76.058434987849 -76.060219806783 -40.214190776246 -152.124367090928 -152.118234322786 -116.273786513838 -152.120484031027 -116.272408785182 -116.274311244968 -228.184243125877 -192.337674664488 -192.331714849561 -192.334313316848
00_01_02_07 00_01_02_07 True -268.403253163263 -76.060194085133 -76.058454359065 -76.059760718181 -40.214190169711 -152.124385590644 -152.121430500601 -116.273784742263 -152.120320010031 -116.272427603825 -116.273737268198 -228.189975230475 -192.337692586433 -192.334735161181 -192.334354011062
00_01_02_08 00_01_02_08 True -268.397888526363 -76.060193899886 -76.058432876077 -76.059994016636 -40.214191567083 -152.124363586013 -152.121706105775 -116.273785975300 -152.118059354962 -116.272407519635 -116.273416877048 -228.185336554120 -192.337671998564 -192.334475888238 -192.331331206347
00_01_02_09 00_01_02_09 True -268.398430402066 -76.060195345445 -76.058435401844 -76.057258913535 -40.214190796433 -152.124367657924 -152.119324197641 -116.273786642961 -152.117067733930 -116.272409299187 -116.271398776825 -228.185282141099 -192.337675305356 -192.332859506688 -192.330908987321
00_01_02_10 00_01_02_10 True -268.395490940595 -76.060193140424 -76.058432846856 -76.058982203545 -40.214191324485 -152.124362827471 -152.118505641785 -116.273784949725 -152.117058681934 -116.272407229860 -116.273210967290 -228.182050135040 -192.337670954890 -192.332170245996 -192.331114808545
00_01_02_11 00_01_02_11 True -268.398321652882 -76.060192593919 -76.058435365655 -76.059854838584 -40.214190655391 -152.124364861938 -152.119578283807 -116.273783795853 -152.119986007084 -116.272409073210 -116.273635023420 -228.185461321623 -192.337672379270 -192.332799435270 -192.333476458387
00_01_02_12 00_01_02_12 True -268.396527078991 -76.060192564448 -76.058432922417 -76.059413881142 -40.214191989272 -152.124362302920 -152.119128908544 -116.273785148965 -152.118275684009 -116.272407980420 -116.273075581737 -228.183802757686 -192.337671223071 -192.332186957736 -192.331679595953
00_01_02_13 00_01_02_13 True -268.397904207706 -76.060192463746 -76.058434961078 -76.058725592684 -40.214190459034 -152.124364244064 -152.118779804026 -116.273783463905 -152.118726546132 -116.272408479117 -116.272950754606 -228.184611590691 -192.337671565344 -192.332450075375 -192.332648066969
00_01_02_14 00_01_02_14 True -268.397589830243 -76.060192346539 -76.058432745923 -76.059906378755 -40.214189813140 -152.124361920092 -152.120507847610 -116.273782636196 -152.118005174669 -116.272405631639 -116.274082323040 -228.184271010478 -192.337668545842 -192.334051985636 -192.332011634952
00_01_02_15 00_01_02_15 True -268.397557165553 -76.060192731667 -76.058433157589 -76.059851703427 -40.214190432210 -152.124362700291 -152.120345624827 -116.273783696687 -152.117979245619 -116.272406679729 -116.274134878179 -228.184193105685 -192.337670014236 -192.334067957183 -192.331970487995
